aikuinen
ajaa
asua
eläin
haluta
haukkua
herkullinen
huono
hylly
hyvä
iso
jalka
joskus
joulu
aika
pöytä
kaikkiruokainen
karsina
kasvattaa
kauppa
sydän
häntä
koira
korva
koti
kulkea
kärsä
tapa
liha
maatila
makuinen
mennä
mies
sukupuoli
monesti
muta
nahka
navetta
neljä
nisäkäs
painaa
paljon
pieni
pinkki
poikanen
porsas
raaka-aine
röhkiä
saada
sana
saparo
sataa
sikala
sorkka
söpö
tykätä
tärkeä
nenä
vaalea
punainen
vahva
viitata
villi
väri
älykäs
maailma
antaa
asia
asuste
aueta
auki
erilainen
erivärinen
hiha
hyödyllinen
ilmaista
ilma
kaksi
kallis
kangas
kantaja
kesä
kiinni
kutoa
kylmä
käyttäjä
laittaa
takki
lämmin
lämmittää
maksaa
materiaali
mukaan
nainen
ohut
oma
osa
paita
pitkähihainen
pitkä
ripustaa
sade
sisältää
vaate
status
syksy
sää
tarjota
tarvita
tavara
tilanne
turkki
tuuli
tyylikäs
ulkona
kappale
vaihdella
vapaa
vastaan
vesi
vetoketju
yhteiskunta
ylä
yläosa
yläruumis
vene
alue
askare
paikka
auto
avain
betoni
edellytys
enemmän
huone
huoneisto
ikkuna
joutua
juosta
kaupunki
keittiö
kerros
kivi
koostua
kuljettaa
lattia
mitata
mökki
nukkua
numero
omistus
suhde
opiskelija
osake
ovi
pakollinen
perhe
puhua
pää
pääsy
rakennus
rivi
siivota
sisään
säilyttää
ilmiö
talous
televisio
tietokone
tulla
turvallinen
täynnä
varten
viettää
vuokrata
yksi
ase
epä
fiskars
hakata
halkaista
halko
kaataa
kahva
katkaista
keksintö
kirves
kärki
käsi
kätevä
lapsi
löytyä
metallinen
metsä
moottori
saha
muotoinen
onnettomuus
perustua
pilkkoa
puu
valkoinen
varsi
raskas
sormi
sormus
tarkkuus
terävä
tietty
työkalu
vaarallinen
vaatia
vanha
yhdistää
aasia
juoma
aurinko
drinkki
kieli
haava
halpa
hapan
hedelmä
kakku
keltainen
vihreä
kirpeys
käydä
limetti
makea
mehukas
pallo
pehmeä
pyöreä
raikas
ruoanlaitto
saari
sellaisenaan
sitruuna
sopia
sukulainen
happi
vety
afrikka
aiheuttaa
aine
elinehto
etu
hana
hiiri
höyry
joki
järvi
jää
kaasu
keho
kemiallinen
kiinteä
kirkas
laiva
luonto
luonnonvara
lämpötila
läpinäkyvyys
maa
maapallo
meri
molekyyli
muuttua
märkä
pestä
puhdistaa
valmistus
sammuttaa
sota
sulaa
syntyä
taivas
terveellisyys
tulevaisuus
uida
väliaine
yhdiste
ylläpitäjä
alla
ala
ennen
erota
fyysinen
henkilö
uros
isä
jalkapallo
jeesus
johtaja
jälkeläinen
karvainen
kestävä
kumppani
kutsua
lihaksikas
lisääntyä
lyhyt
matala
nähdä
oikeudenmukainen
ote
otus
parta
penis
yksikkö
pippeli
poika
poikkeava
puolustaja
jatkaa
tuottaa
tyypillinen
uhka
uhri
valta
asema
vastakohta
versio
viisas
yritys
ääni
armeija
auttaa
hauska
helppo
henki
hierarkia
joukko
hahmo
joukkue
järjestelmä
jäsen
vaihe
kokoontua
koulu
kymmenen
tulos
luoda
läpi
matematiikka
määritellä
olio
paine
projekti
puolesta
pyrkiä
päämäärä
rooli
ryhmitellä
keskustelu
saavuttaa
sääntö
tavata
tehokas
toiminta
tuntea
tyhmyys
yhteenkuuluvuus
yhteinen
yhteys
päivä
kuoria
kuuma
tuote
mieto
raidallinen
ruusu
salaatti
siemenellinen
tahrata
ulkoa
ulkomuoto
valtava
veistellä
vesimeloni
kasvi
alku
erikokoinen
salmi
helsinki
hevonen
hieno
raja
kala
kalastaa
kannas
kapea
kaunis
liikenne
lukea
luovuttaa
maantieteellinen
pizza
kaula
purjehtia
termi
sijaita
silta
kohta
suolainen
suomalainen
reitti
viisi
etsiä
harvinainen
helikopteri
hyrrä
kovaa
kulkuneuvo
laskeutua
hyppy
lentää
lentokone
liike
liikkua
poltto
lauma
propelli
roottori
sotilas
suora
ylös
kuvailla
lajike
leveä
omena
puoli
päärynä
roikkua
ruskea
sininen
aisti
sointu
esittää
historia
ilman
keskiaika
kirja
kirjoittaa
lahja
laulaa
lausua
merkitys
musiikki
ominaisuus
riimittää
runoilija
mainen
leikki
säe
taide
tarina
kerronta
tekele
teksti
tunne
aalto
yliopisto
amplitudi
edellä
energia
eteenpäin
fysiikka
harja
huippu
informaatio
laine
virta
nopeus
ongelma
