id	fin_name	eng_name	category	word_class	aaltoprod	aalto85	cslb	mcrae	vinson	cmu	w2v_fin	w2v_eng	homonym_fin	homonym_eng	action_words	COMMENT
493	haave	dream	abstract_high	noun	haave						haave		uni	dream	1	noun & verb
494	uni	dream	abstract_mid	noun	uni						uni	dream	haave	dream	1	noun & verb
495	mekko	dress	clothing	noun	mekko		dress	dress	DRESS_object	dress	mekko	dress			0	noun & verb
498	pora	drill	tool	noun	pora	pora	drill	drill	DRILL_object		pora	drill	porata	DRILL_actionV	0	noun & verb
507	ankka	duck	animal	noun	ankka	ankka	duck	duck	DUCK_object	duck	ankka	duck			0	
512	kotka	eagle	animal	noun	kotka	kotka	eagle	eagle		eagle	kotka	eagle			0	
513	korva	ear	bodypart	noun	korva	korva	ear		EAR_object	ear	korva	ear			0	
518	maapallo	earth	nature	noun	maapallo					earth	maa#pallo	earth			0	
521	koulutus	education	abstract_high	noun	koulutus						koulutus	education			0	
526	norsu	elephant	animal	noun	norsu		elephant	elephant	ELEPHANT_object	elephant	norsu	elephant			0	
534	loppu	end	abstract_high	noun	loppu						loppu	end			0	
535	veturi	engine	vehicle	noun	veturi					engine	veturi	engine			0	
540	purkaus	eruption	abstract_mid	noun	purkaus	purkaus					purkaus	eruption			0	
546	tapahtuma	event	abstract_mid	noun	tapahtuma						tapahtuma	event			0	
547	todiste	evidence	abstract_mid	noun	todiste	todiste					todiste	evidence			0	
550	kokemus	experience	abstract_high	noun	kokemus	kokemus					kokemus	experience			0	
551	koe	experiment	abstract_mid	noun	koe						koe	experiment			0	
552	ilme	expression	abstract_mid	noun	ilme	ilme					ilme	expression			0	
553	silmä	eye	bodypart	noun	silmä	silmä	eye		EYE_object	eye	silmä	eye			0	
558	tehdas	factory	building	noun	tehdas	tehdas				factory	tehdas	factory			0	
559	kohtalo	faith	abstract_high	noun	kohtalo	kohtalo					kohtalo	faith			0	
565	isä	father	human	noun	isä						isä	father			0	
571	naaras	female	abstract_mid	noun	naaras						naaras	female			0	
572	aita	fence	building	noun	aita		fence	fence	FENCE_object	fence	aita	fence			0	
580	sormi	finger	bodypart	noun	sormi	sormi	finger		FINGER_object	finger	sormi	finger			0	
583	tuli	fire	nature	noun	tuli	tuli				fire	tuli	fire			0	
614	haarukka	fork	tool	noun	haarukka		fork	fork	FORK_object	fork	haarukka	fork			0	
615	kettu	fox	animal	noun	kettu		fox	fox	FOX_object	fox	kettu	fox			0	
618	vapaus	freedom	abstract_high	noun	vapaus	vapaus					vapaus	freedom			0	
621	kitka	friction	abstract_mid	noun	kitka	kitka					kitka	friction			0	
622	ystävä	friend	human	noun	ystävä						ystävä	friend			0	
631	polttoaine	fuel	material	noun	polttoaine					fuel	poltto#aine	fuel			0	
632	rahoitus	funding	abstract_high	noun	rahoitus						rahoitus	funding			0	
642	kaasu	gas	material	noun	kaasu					gas	kaasu	gas			0	
643	portti	gate	building	noun	portti		gate	gate	GATE_object	gate	portti	gate			0	
645	vaihde	gear	abstract_mid	noun	vaihde						vaihde	gear			0	
646	geeni	gene	abstract_mid	noun	geeni	geeni					geeni	gene			0	
654	kirahvi	giraffe	animal	noun	kirahvi		giraffe	giraffe	GIRAFFE_object	giraffe	kirahvi	giraffe			0	
657	jäätikkö	glacier	nature	noun	jäätikkö					glacier	jäätikkö	glacier			0	
660	käsine	glove	clothing	noun	käsine		gloves	gloves	GLOVE_object	glove	käsine	glove			0	
665	vuohi	goat	animal	noun	vuohi		goat	goat	GOAT_object	goat	vuohi	goat			0	
676	viinirypäle	grape	fruit	noun	viinirypäle		grape	grape	GRAPE_object	grape	rypäle	grape			0	
677	greippi	grapefruit	fruit	noun	greippi		grapefruit	grapefruit	GRAPEFRUIT_object	grapefruit	greippi	grapefruit			0	typo in AaltoProd
694	ryhmä	group	abstract_mid	noun	ryhmä						ryhmä	group			0	
699	kitara	guitar	instrument	noun	kitara		guitar	guitar		guitar	kitara	guitar			0	
701	ase	gun	weapon	noun	ase		gun	gun	GUN_object	gun	ase	gun			0	
705	hiukset	hair	bodypart	noun	hiukset		hair		HAIR_object	hair	hius	hair			0	
710	vasara	hammer	tool	noun	vasara		hammer	hammer	HAMMER_object	hammer	vasara	hammer	vasaroida	HAMMER_actionV	0	noun & verb
713	käsi	hand	bodypart	noun	käsi	käsi			HAND_object	hand	käsi	hand			0	
728	pää	head	bodypart	noun	pää				HEAD_object	head	pää	head			0	
735	helikopteri	helicopter	vehicle	noun	helikopteri		helicopter	helicopter	HELICOPTER_object	helicopter	helikopteri	helicopter			0	
744	vaellus	hike	abstract_mid	noun	vaellus						vaellus	hike			0	
747	historia	history	abstract_high	noun	historia	historia					historia	history			0	
751	kuokka	hoe	tool	noun	kuokka		hoe	hoe	HOE_object	hoe	kuokka	hoe	kuokkia	HOE_actionV	0	noun & verb
