eng_name	fin_name	category	word_class
kill	tappaa	action	verb
knee	polvi	bodypart	noun
knife	veitsi	tool	noun
knock	koputtaa	action	verb
knock	koputus	action	noun
lead	johtaa	action	verb
leave	jättää	action	verb
leg	jalka	bodypart	noun
lemon	sitruuna	fruit	noun
lend	lainata	action	verb
leopard	leopardi	animal	noun
lettuce	lehtisalaatti	vegetable	noun
lick	nuolla	action	verb
lift	nostaa	action	verb
lime	lime	fruit	noun
limp	ontua	action	verb
lion	leijona	animal	noun
lip	huuli	bodypart	noun
listen	kuunnella	action	verb
loan	laina 	action	noun
loan	lainata	action	verb
look	katsella	action	noun
lose	menettää	action	verb
loss	menetys	action	noun
make	tehdä	action	verb
march	marssia	action	verb
meow	naukua	action	verb
meow	naukuminen	action	noun
mitten	tumppu	clothing	noun
mix 	sekoittaa	action	verb
motorcycle	moottoripyörä	vehicle	noun
mouse_computer	tietokonehiiri	appliance	noun
mouth	suu	bodypart	noun
move	liikkua	action	verb
murder	murhata	action	verb
murder	murha 	action	noun
mushroom	sieni	vegetable	noun
neck	kaula	bodypart	noun
nose	nenä	bodypart	noun
notice	huomata	action	verb
oink	röhkiä	action	verb
oink	röhkäisy	action	noun
onion	sipuli	vegetable	noun
orange	appelsiini	fruit	noun
paint	maalata	action	verb
paw 	tassu	bodypart	noun
pay	maksaa	action	verb
pea	herne	vegetable	noun
peach	persikka	fruit	noun
pear	päärynä	fruit	noun
pedal	polkea	action	verb
pen	kynä	tool	noun
pencil	lyijykynä	tool	noun
pepper	pippuri	food	noun
pig	sika	animal	noun
pineapple	ananas	fruit	noun
place	asettaa	action	verb
plea	pyyntö	action	noun
plead	pyytää	action	verb
pliers	pihdit	tool	noun
plum	luumu	fruit	noun
potato	peruna	vegetable	noun
pound	hakata	action	verb
pour	kaataa	action	verb
preach	saarnata	action	verb
press	painaa	action	verb
pull	veto	action	noun
pull	vetää	action	verb
pumpkin	kurpitsa	vegetable	noun
punch	lyödä	action	verb
push	työntö	action	noun
push	työntää	action	verb
put	asettaa	action	verb
rabbit	kani	animal	noun
raft	lautta	vehicle	noun
raisin	rusina	food	noun
rake	harava	tool	noun
rake	haravoida	action	verb
raspberry	vadelma	fruit	noun
rattle	ravistella	action	verb
razor	partahöylä	tool	noun
read	lukea	action	verb
receive	vastaanottaa	action	verb
repair	korjata	action	verb
repair	korjaus	action	noun
request	pyytää	action	verb
request	pyyntö	action	noun
retch	oksentaa	action	noun
return	palautus	action	noun
return	palauttaa	action	verb
ride	ratsastaa	action	verb
rise	nousta	action	verb
roast	paahtaa	action	verb
roof	katto	furniture	noun
rug	matto	furniture	noun
run	juosta	action	verb
saw	saha	tool	noun
saw	sahata	action	verb
say	sanoa	action	verb
scarf	huivi	clothing	noun
scissors	sakset	tool	noun
scream	kirkaisu	action	noun
scream	kirkua	action	verb
screech	kirskua	action	verb
screech	kirskunta	action	noun
screwdriver	ruuvimeisseli	tool	noun
seat	istuin	furniture	noun
see 	nähdä	action	verb
sell	myydä	action	verb
send	lähettää	action	verb
sense	tuntea	action	verb
shake	ravistaa	action	verb
shave	sheivata	action	verb
sheep	lammas	animal	noun
shield	kilpi	weapon	noun
shine	loiste	action	noun
shine	loistaa	action	verb
ship	laiva	vehicle	noun
shirt	paita	clothing	noun
shoe	kenkä	clothing	noun
shoulder	olkapää	bodypart	noun
shout	huutaa	action	verb
shout	huuto	action	noun
shovel	lapio	tool	noun
shovel	lapioida	action	noun
sigh	huokaus	action	noun
sigh	huokaista	action	verb
sing	laulaa	action	verb
sink	upota	action	verb
sit	istua	action	verb
skid	liukua	action	verb
skirt	hame	clothing	noun
slap	läpsäistä	action	verb
slide	liukua	action	verb
smash	murskata	action	verb
smile	hymyillä	action	verb
smoke	tupakoida	action	verb
sneeze	aivastaa	action	verb
snore	kuorsata	action	verb
sock	sukka	clothing	noun
spit	sylkeä	action	verb
spoon	lusikka	tool	noun
stop	pysähtyä	action	verb
strawberry	mansikka	fruit	noun
swan	joutsen	bird	noun
sweater	villapaita	clothing	noun
swim	uida	action	verb
sword	miekka	tool	noun
talk	puhua	action	verb
taste	maistaa	action	verb
teeth	hampaat	bodypart	noun
throw	heittää	action	verb
thumb	peukalo	bodypart	noun
tickle	kutittaa	action	verb
tiger	tiikeri	animal	noun
toe	varvas	bodypart	noun
toothbrush	hammasharja	tool	noun
touch	koskettaa	action	verb
train	juna	vehicle	noun
tricycle	kolmipyöräinen	vehicle	noun
trousers	housut	clothing	noun
truck	rekka	vehicle	noun
tweezers	pinsetit	tool	noun
van	pakettiauto	vehicle	noun
vest	liivi	clothing	noun
wade	kahlata	action	verb
walk	kävellä	action	verb
wash	pestä	action	verb
watch	katsoa	action	verb
watermelon	vesimeloni	fruit	noun
wink	iskeä silmää	action	verb
wrench	jakoavain	tool	noun
write	kirjoittaa	action	verb
yawn	haukotella	action	verb
zebra	seepra	animal	noun
