eng_name	fin_name	category	word_class
dresser	astiakaappi	furniture	noun
dressing gown	aamutakki	clothing	noun
drill	pora	tool	noun
drum	rumpu	instrument	noun
duck	ankka	animal	noun
eagle	kotka	animal	noun
ear	korva	bodypart	noun
earmuffs	kuulonsuojaimet	accessory	noun
eel	ankerias	waterlife	noun
elephant	norsu	animal	noun
elm	jalava	plant	noun
emu	emu	bird	noun
encyclopaedia	tietosanakirja	text	noun
envelope	kirjekuori	text	noun
eucalyptus	eukalyptus	plant	noun
eye	silmä	bodypart	noun
falcon	jalohaukka	bird	noun
fence	aita	building	noun
fern	saniainen	plant	noun
ferry	autolautta	vehicle	noun
finger	sormi	bodypart	noun
fir	jalokuusi	plant	noun
flamingo	flamingo	bird	noun
flannel	flanelli	material	noun
flea	kirppu	insect	noun
flip-flops	varvassandaalit	clothing	noun
flounder	kampela	waterlife	noun
flour	jauho	food	noun
flute	huilu	instrument	noun
foot	jalkaterä	bodypart	noun
football	jalkapallo	sport	noun
fork	haarukka	tool	noun
fox	kettu	animal	noun
french horn	käyrätorvi	instrument	noun
frisbee	frisbee	sport	noun
frog	sammakko	animal	noun
garlic	valkosipuli	vegetable	noun
gate	portti	building	noun
geranium	kurjenpolvi	plant	noun
gerbil	gerbiili	animal	noun
gherkin	etikkakurkku	food	noun
gin	gini	drink	noun
giraffe	kirahvi	animal	noun
glider	riippuliidin	vehicle	noun
glove	käsine	clothing	noun
glue	liima	material	noun
goat	vuohi	animal	noun
goggles	suojalasit	clothing	noun
goldfish	kultakala	waterlife	noun
gong	gongi	instrument	noun
goose	hanhi	bird	noun
gorilla	gorilla	animal	noun
gown	kaapu	clothing	noun
grape	viinirypäle	fruit	noun
grapefruit	greippi	fruit	noun
grasshopper	heinäsirkka	insect	noun
grater	raastin	tool	noun
greeting card	onnittelukortti	text	noun
grenade	kranaatti	weapon	noun
guinea pig	marsu	animal	noun
guitar	kitara	instrument	noun
gun	ase	weapon	noun
hair	hiukset	bodypart	noun
ham	kinkku	food	noun
hammer	vasara	tool	noun
hamster	hamsteri	animal	noun
harmonica	huuliharppu	instrument	noun
harp	harppu	instrument	noun
harpoon	harppuuna	weapon	noun
harpsichord	cembalo	instrument	noun
hatchet	retkikirves	tool	noun
hawk	haukka	bird	noun
heart	sydän	bodypart	noun
hedgehog	siili	animal	noun
helicopter	helikopteri	vehicle	noun
helmet	kypärä	accessory	noun
heron	harmaahaikara	bird	noun
herring	silli	waterlife	noun
hippo	virtahepo	animal	noun
hoe	kuokka	tool	noun
hook	koukku	tool	noun
hornet	herhiläinen	insect	noun
horse	hevonen	animal	noun
hose	vesiletku	tool	noun
houseboat	asuntolaiva	vehicle	noun
housefly	huonekärpänen	insect	noun
hummingbird	kolibri	bird	noun
hutch	pöytätaso	furniture	noun
hyacinth	hyasintti	plant	noun
hyena	hyeena	animal	noun
ibuprofen	ibuprofeeni	medicine	noun
ice cream	jäätelö	food	noun
iguana	leguaani	animal	noun
jacket	pikkutakki	clothing	noun
jam	hillo	food	noun
jar	purkki	container	noun
jeans	farkut	clothing	noun
jeep	jeeppi	vehicle	noun
jelly	hyytelö	food	noun
jellyfish	meduusa	waterlife	noun
jug	kannu	container	noun
kangaroo	kenguru	animal	noun
kayak	kajakki	vehicle	noun
ketchup	ketsuppi	food	noun
kettle	teepannu	container	noun
key	avain	tool	noun
kingfisher	kuningaskalastaja	bird	noun
kitchen_scales	keittiövaaka	appliance	noun
kite	leija	toy	noun
kiwi	kiivi	fruit	noun
