eng_name	fin_name	category	word_class
cord	kaapeli	appliance	noun
fan	tuuletin	appliance	noun
ladle	kauha	tool	noun
dance	tanssi	sport	noun
sunglasses	aurinkolasit	clothing	noun
crumb	muru	food	noun
child	lapsi	human	noun
cucumber	kurkku	vegetable	noun
iPod	iPod	appliance	noun
feet	jalkaterät	bodypart	noun
tribe	heimo	social	noun
iceberg	jäävuori	nature	noun
toothbrush	hammasharja	tool	noun
ivy	muratti	plant	noun
brush	harja	tool	noun
hedge	pensasaita	building	noun
octopus	mustekala	waterlife	noun
drain	lattiakaivo	furniture	noun
rice	riisi	food	noun
building	rakennus	place	noun
eyelash	silmäripsi	bodypart	noun
hotel	hotelli	building	noun
locker	lokero	furniture	noun
birch	koivu	plant	noun
spice	mauste	food	noun
armrest	käsinoja	furniture	noun
rug	matto	furniture	noun
letter	kirje	text	noun
needle	neula	tool	noun
deck	pakka	toy	noun
kite	leija	toy	noun
watermelon	vesimeloni	fruit	noun
moccasins	mokkasiinit	clothing	noun
lever	vipu	tool	noun
hair	hiukset	bodypart	noun
woman	nainen	human	noun
thigh	reisi	bodypart	noun
tractor	traktori	vehicle	noun
spade	puutarhalapio	tool	noun
boot	saapas	clothing	noun
dot	täplä	abstract_low	noun
food	ruoka	food	noun
canteen	kantiini	place	noun
rock	kallio	nature	noun
breast	rinta	bodypart	noun
pineapple	ananas	fruit	noun
sleeve	hiha	clothing	noun
river	joki	nature	noun
tongue	kieli	bodypart	noun
flute	huilu	instrument	noun
rash	ihottuma	medicine	noun
arrow	nuoli	tool	noun
scarf	huivi	clothing	noun
liquid	neste	material	noun
laundry	pyykki	clothing	noun
tooth	hammas	bodypart	noun
paint	maalata	action	verb
tablespoon	ruokalusikka	tool	noun
necktie	kravatti	clothing	noun
clothes	vaatteet	clothing	noun
floss	hammaslanka	artifact	noun
thread	ompelulanka	artifact	noun
aquarium	akvaario	place	noun
chestnut	kastanja	plant	noun
whisker	viiksi	bodypart	noun
rifle	kivääri	weapon	noun
liquor	viina	drink	noun
ladybug	leppäkerttu	insect	noun
basket	kori	sport	noun
propeller	propelli	appliance	noun
beard	parta	bodypart	noun
male	uros	abstract_low	noun
body	ruumis	bodypart	noun
step	rappu	artifact	noun
rocket	raketti	vehicle	noun
caterpillar	perhosentoukka	insect	noun
planet	planeetta	nature	noun
mail	posti	artifact	noun
whip	piiska	tool	noun
pill	pilleri	medicine	noun
kettle	teepannu	container	noun
insect	hyönteinen	insect	noun
stone	kivi	nature	noun
bible	raamattu	text	noun
cancer	syöpä	medicine	noun
gum	kumi	material	noun
strawberry	mansikka	fruit	noun
sponge	pesusieni	artifact	noun
handle	kahva	tool	noun
maple	vaahtera	plant	noun
hippo	virtahepo	animal	noun
plane	höylä	tool	noun
peacock	riikinkukko	bird	noun
encyclopaedia	tietosanakirja	text	noun
wine	viini	drink	noun
bread	leipä	food	noun
gorilla	gorilla	animal	noun
fries	ranskanperunat	food	noun
bank	pankki	place	noun
sand	hiekka	material	noun
dumpster	jäteastia	container	noun
hood	huppu	clothing	noun
moon	kuu	nature	noun
van	pakettiauto	vehicle	noun
hog	karju	animal	noun
windshield	tuulilasi	artifact	noun
rattlesnake	kalkkarokäärme	animal	noun
rake	harava	tool	noun
cinnamon	kaneli	food	noun
calf	vasikka	animal	noun
zipper	vetoketju	tool	noun
asparagus	parsa	vegetable	noun
mug	muki	container	noun
thermometer	kuumemittari	appliance	noun
pond	lampi	nature	noun
cocktail	cocktail	drink	noun
goldfish	kultakala	waterlife	noun
kitten	kissanpentu	animal	noun
wife	vaimo	human	noun
certificate	sertifikaatti	abstract_low	noun
photograph	valokuva	text	noun
coffee	kahvi	food	noun
hyena	hyeena	animal	noun
lawn	nurmikko	nature	noun
bush	puska	plant	noun
oar	airo	tool	noun
crystal	kristalli	material	noun
nickel	viisisenttinen	artifact	noun
ditch	oja	place	noun
elephant	norsu	animal	noun
panties	pikkuhousut	clothing	noun
driveway	ajotie	place	noun
stomach	vatsa	bodypart	noun
wind	tuuli	nature	noun
fruit	hedelmä	fruit	noun
nose	nenä	bodypart	noun
breeze	tuulahdus	nature	noun
tornado	tornado	nature	noun
tent	teltta	place	noun
doorway	oviaukko	furniture	noun
ocean	valtameri	nature	noun
antique	antiikki	abstract_high	noun
husband	aviomies	person	noun
blackboard	liitutaulu	furniture	noun
circus	sirkus	social	noun
hook	koukku	tool	noun
onion	sipuli	vegetable	noun
railroad	rautatie	place	noun
rat	rotta	animal	noun
penny	penni	artifact	noun
asphalt	asfaltti	material	noun
bean	papu	vegetable	noun
meatballs	lihapullat	food	noun
heart	sydän	bodypart	noun
wedding	häät	social	noun
flagpole	lipputanko	artifact	noun
brain	aivot	bodypart	noun
sledge	kelkka	vehicle	noun
hospital	sairaala	building	noun
cement	sementti	material	noun
earphones	kuulokkeet	appliance	noun
jail	vankila	building	noun
market	ruokakauppa	place	noun
kilt	kiltti	clothing	noun
magnet	magneetti	artifact	noun
vegetable	kasvis	vegetable	noun
penguin	pingviini	bird	noun
wallpaper	tapetti	furniture	noun
potato	peruna	vegetable	noun
yoke	ies	tool	noun
popcorn	popcorn	food	noun
racket	maila	sport	noun
beak	nokka	bodypart	noun
dock	telakka	place	noun
crow	varis	bird	noun
sunshine	auringon paiste	abstract_low	noun
smile	hymy	action	noun
poster	juliste	text	noun
grapefruit	greippi	fruit	noun
groin	nivuset	bodypart	noun
trash	roska	container	noun
accordion	harmonikka	instrument	noun
human	ihminen	person	noun
knee	polvi	bodypart	noun
skate	luistin	sport	noun
flag	lippu	artifact	noun
lake	järvi	nature	noun
atom	atomi	abstract_low	noun
lamp	valaisin	furniture	noun
cd	cd	artifact	noun
frisbee	frisbee	sport	noun
owl	pöllö	bird	noun
coffin	arkku	container	noun
sandal	sandaali	clothing	noun
dime	kymmensenttinen	artifact	noun
shore	ranta	nature	noun
earthworm	kastemadot	insect	noun
