id	fin_name	eng_name	category	word_class	aaltoprod	aalto85	cslb	mcrae	vinson	cmu	w2v_fin	w2v_eng	homonym_fin	homonym_eng	COMMENT
1238	harava	rake	tool	noun	harava		rake	rake	RAKE_object	rake	harava	rake	haravoida	RAKE_actionV	
1241	ihottuma	rash	abstract	noun						rash	ihottuma	rash			
1242	vadelma	raspberry	fruit	noun	vadelma		raspberry	raspberry	RASPBERRY_object	raspberry	vadelma	raspberry			
1243	rotta	rat	animal	noun			rat	rat		rat	rotta	rat			
1246	kalkkarokäärme	rattlesnake	animal	noun			rattlesnake	rattlesnake		rattlesnake	kalkkaro#käärme	rattlesnake			
1248	rotko	ravine	nature	noun						ravine	rotko	ravine			
1249	partahöylä	razor	tool	noun			razor	razor	RAZOR_object	razor	parta#höylä	razor			
1252	kuitti	receipt	text	noun						receipt	kuitti	receipt			
1255	jääkaappi	refrigerator	appliance	noun			fridge	fridge		refrigerator	jää#kaappi	refrigerator			
1259	matelija	reptile	animal	noun						reptile	matelija	reptile			
1263	lomakohde	resort	place	noun						resort	loma#kohde	resort			
1264	ravintola	restaurant	place	noun						restaurant	ravintola	restaurant			
1269	revolveri	revolver	weapon	noun			revolver	revolver		revolver	revolveri	revolver			
1270	sarvikuono	rhino	animal	noun			rhino			rhinoceros	sarvi#kuono	rhino			
1272	kylkiluu	rib	bodypart	noun						rib	kylki#luu	rib			
1273	nauha	ribbon	accessory	noun						ribbon	nauha	ribbon			
1274	riisi	rice	food	noun			rice	rice		rice	riisi	rice			
1276	kivääri	rifle	weapon	noun			rifle	rifle		rifle	kivääri	rifle			
1277	sormus	ring	accessory	noun	sormus	sormus	ring_(jewellery)	ring_(jewelry)		ring	sormus	ring			
1279	joki	river	nature	noun	joki	joki				river	joki	river			
1280	tie	road	nature	noun	tie	tie				road	tie	road			
1283	punarinta	robin	bird	noun			robin	robin		robin	puna#rinta	robin			
1284	robotti	robot	appliance	noun						robot	robotti	robot			
1285	kallio	rock	nature	noun	kallio	kallio	rock	rock		rock	kallio	rock			
1287	raketti	rocket	vehicle	noun			rocket	rocket		rocket	raketti	rocket			
1289	vuoristorata	rollercoaster	vehicle	noun						rollercoaster	vuoristo#rata	rollercoaster			
1293	katto	roof	furniture	noun					ROOF_object	roof	katto	roof			
1294	huone	room	place	noun	huone					room	huone	room			
1295	kukko	rooster	bird	noun				rooster		rooster	kukko	rooster			
1296	juuri	root	plant	noun						root	juuri	root			
1297	köysi	rope	tool	noun			rope	rope		rope	köysi	rope			
1298	ruusu	rose	plant	noun			rose			rose	ruusu	rose			
1299	matto	rug	furniture	noun					RUG_object	rug	matto	rug			
1300	viivoitin	ruler	tool	noun			ruler	ruler		ruler	viivoitin	ruler			
1302	ruoste	rust	material	noun						rust	ruoste	rust			
1303	säkki	sack	container	noun				sack		sack	säkki	sack			
1305	purjevene	sailboat	vehicle	noun				sailboat		sailboat	purje#vene	sailboat			
1306	salaatti	salad	food	noun						salad	salaatti	salad			
1307	salamanteri	salamander	animal	noun				salamander		salamander	salamanteri	salamander			Code claimed this was not in corpus?
1308	lohi	salmon	waterlife	noun			salmon	salmon		salmon	lohi	salmon			
1309	suola	salt	food	noun						salt	suola	salt			
1310	hiekka	sand	material	noun						sand	hiekka	sand			
1311	sandaali	sandal	clothing	noun			sandals	sandals		sandal	sandaali	sandal			
1313	voileipä	sandwich	food	noun			sandwich			sandwich	voi#leipä	sandwich			
1316	satelliitti	satellite	vehicle	noun	satelliitti					satellite	satelliitti	satellite			
1318	kastike	sauce	food	noun						sauce	kastike	sauce			
1319	aluslautanen	saucer	container	noun				saucer		saucer	alus#lautanen	saucer			noun & verb
1320	makkara	sausage	food	noun						sausage	makkara	sausage			noun & verb
1321	saha	saw	tool	noun	saha	saha	saw		SAW_object	saw	saha	saw			
1324	saksofoni	saxophone	instrument	noun			saxophone	saxophone		saxophone	saksofoni	saxophone			
1325	rupi	scab	medicine	noun						scab	rupi	scab			
1328	arpi	scar	medicine	noun						scar	arpi	scar			
1329	linnunpelätin	scarecrow	tool	noun						scarecrow	linnun#pelätin	scarecrow			
1330	huivi	scarf	clothing	noun	huivi		scarf	scarf	SCARF_object	scarf	huivi	scarf			
1331	koulu	school	place	noun	koulu					school	koulu	school			
1333	sakset	scissors	tool	noun	sakset	sakset	scissors	scissors	SCISSORS_object	scissors	sakset	scissors			
1334	skootteri	scooter	vehicle	noun				scooter		scooter	skootteri	scooter			
1340	ruuvi	screw	tool	noun			screw	screws		screw	ruuvi	screw			
1341	ruuvimeisseli	screwdriver	tool	noun			screwdriver	screwdriver	SCREWDRIVER_object	screwdriver	ruuvi#meisseli	screwdriver			
1343	meri	sea	nature	noun	meri	meri				sea	meri	sea			
1344	lokki	seagull	bird	noun			seagull	seagull		seagull	lokki	seagull			
1346	hylje	seal	animal	noun			seal_(animal)	seal		seal	hylje	seal			
1347	sauma	seam	other	noun						seam	sauma	seam			
1348	simpukankuori	seashell	artifact	noun			seashell			seashell	simpukan#kuori	seashell			
1349	istuin	seat	furniture	noun					SEAT_object	seat	istuin	seat			
1350	merilevä	seaweed	waterlife	noun			seaweed	seaweed		seaweed	meri#levä	seaweed			
1351	sedan	sedan	vehicle	noun						sedan	sedan	sedan			
1353	siemen	seed	plant	noun						seed	siemen	seed			
1357	viemäri	sewer	furniture	noun						sewer	viemäri	sewer			
1360	hai	shark	waterlife	noun			shark			shark	hai	shark			
