id	fin_name	eng_name	category	word_class	aaltoprod	aalto85	cslb	mcrae	vinson	cmu	w2v_fin	w2v_eng	homonym_fin	homonym_eng	COMMENT
1190	valta	power	abstract	noun	valta	valta					valta	reign			
1195	paine	pressure	abstract	noun	paine	paine					paine	pressure			
1196	hinta	price	abstract	noun	hinta	hinta					hinta	price			
1197	pappi	priest	person	noun	pappi	pappi					pappi	priest			
1199	vanki	prisoner	person	noun	vanki	vanki					vanki	prisoner			
1200	ongelma	problem	abstract	noun	ongelma	ongelma					ongelma	problem			
1222	määrä	quantity	abstract	noun	määrä	määrä					määrä	quantity			
1251	järki	reason	abstract	noun	järki	järki					järki	reason			
1260	maine	reputation	abstract	noun	maine	maine					maine	reputation			
1268	arvio	review	abstract	noun	arvio	arvio					arvio	review			
1277	sormus	ring	accessory	noun	sormus	sormus	ring_(jewellery)	ring_(jewelry)		ring	sormus	ring			
1279	joki	river	nature	noun	joki	joki				river	joki	river			
1280	tie	road	nature	noun	tie	tie				road	tie	road			
1285	kallio	rock	nature	noun	kallio	kallio	rock	rock		rock	kallio	rock			
1321	saha	saw	tool	noun	saha	saha	saw		SAW_object	saw	saha	saw			
1333	sakset	scissors	tool	noun	sakset	sakset	scissors	scissors	SCISSORS_object	scissors	sakset	scissors			
1343	meri	sea	nature	noun	meri	meri				sea	meri	sea			
1364	lammas	sheep	animal	noun	lammas	lammas	sheep	sheep	SHEEP_object	sheep	lammas	sheep			
1370	laiva	ship	vehicle	noun	laiva	laiva	ship	ship	SHIP_object	ship	laiva	ship			
1380	lapio	shovel	tool	noun	lapio	lapio	shovel	shovel	SHOVEL_object	shovel	lapio	shovel			
1391	koko	size	abstract	noun	koko	koko					koko	size			
1431	sotilas	soldier	person	noun	sotilas	sotilas					sotilas	soldier			
1432	laulu	song	text	noun	laulu	laulu					laulu	song			
1443	puhe	speech	abstract	noun	puhe	puhe					puhe	speech			
1452	lusikka	spoon	tool	noun	lusikka	lusikka	spoon	spoon	SPOON_object	spoon	lusikka	spoon			
1538	opettaja	teacher	person	noun	opettaja	opettaja					opettaja	teacher			
1539	joukkue	team	social	noun	joukkue	joukkue					joukkue	team			
1545	temppeli	temple	place	noun	temppeli	temppeli					temppeli	temple			
1567	ajoitus	timing	time	noun	ajoitus	ajoitus					ajoitus	timing			
1573	varvas	toe	bodypart	noun	varvas	varvas	toe		TOE_object	toe	varvas	toe			
1587	torni	tower	place	noun	torni	torni					torni	tower			
1592	0	train	vehicle	noun	juna	juna	train	train	TRAIN_object	train	juna	train			
1605	rekka	0	vehicle	noun	rekka	rekka	truck	truck	TRUCK_object	truck	rekka	truck			
1661	0	wave	nature	noun	aalto	aalto				wave	aalto	wave			
1665	0	weight	abstract	noun	paino	paino					paino	weight			
1680	tahto	will	abstract	noun	tahto	tahto					tahto	will			
1691	susi	wolf	animal	noun	susi	susi	wolf			wolf	susi	wolf			
1697	0	work	abstract	noun	teos	teos					teos	work			
1712	0	youth	abstract	noun	nuoruus	nuoruus					nuoruus	youth			
